,url,title,score
0,https://semiwiki.com/semiconductor-manufacturers/intel/314047-intel-4-presented-at-vlsi/,Intel 4 Deep Dive,16
1,https://github.com/speakeasy-api/rest-template-go,Show HN: A RESTful API Template in Go,11
2,https://blog.clubhouse.com/dynamite-our-client-library-for-using-dynamodb-faster-with-fewer-mistakes/,"Dynamite, our client library for using DynamoDB faster with fewer mistakes",12
3,https://www.infoworld.com/article/3668197/how-cloudflare-emerged-to-take-on-aws-azure-and-gcp.html,"Cloudflare emerged to take on AWS, Azure, and GCP",21
4,https://sourceware.org/pipermail/libc-alpha/2022-August/141193.html,glibc – GNU C Library 2.36,35
5,https://www.engadget.com/sec-cryptocurrency-ponzi-scheme-forsage-175718451.html,SEC charges 11 people over 'textbook' $300M crypto Ponzi scheme,21
6,https://twitter.com/davidrowley_pg/status/1554432120126201856,Performance of ORDER BY / DISTINCT has been terrible for too long in Postgres,16
7,https://www.bloomberg.com/news/features/2022-08-01/goldman-lost-2-traders-then-accused-them-of-accessing-secret-code,"Goldman accuses developers of theft, damages careers (again)",11
8,https://www.theguardian.com/us-news/2022/aug/01/polio-case-new-york-wastewater,Polio found in New York wastewater month before confirmed case emerged,15
9,https://publicintegrity.org/inside-publici/newsletters/watchdog-newsletter/postal-workers-debt-managers-overpaid/,Postal workers go into debt when management claim they are overpaid,19
10,https://www.theverge.com/2022/8/2/23288612/meta-hosptials-sued-patient-privacy-facebook-data-hipaa,Meta sued for violating patient privacy with data tracking tool,13
11,https://librearts.org/2022/08/audio-editors-for-linux-that-are-not-audacity/,Audio editors for Linux that are not Audacity,13
12,https://www.coindesk.com/markets/2022/08/03/phantom-wallet-exploit-drains-millions-in-sol-tokens/,Solana Wallets Targeted in Latest Multimillion Dollar Hack,11
13,https://arstechnica.com/gadgets/2022/08/linus-torvalds-uses-an-arm-powered-m2-macbook-air-to-release-latest-linux-kernel/,Linus Torvalds uses an Arm-powered M2 MacBook Air to release latest Linux kernel,14
14,https://www.masteringemacs.org/article/evaluating-elisp-emacs,Evaluating Elisp in Emacs,28
15,https://www.theguardian.com/commentisfree/2022/aug/03/i-thought-needing-subtitles-on-tv-just-meant-i-was-getting-old-turns-out-it-is-all-the-rage-among-the-kids,Four out of five viewers between 18 and 25 put subtitles on,11
16,https://threema.ch/en/blog/posts/threema-libre,Threema Libre: Full Independence from Google Services,20
17,http://www.groklaw.net/article.php?story=2011111122291296,"Android, Barnes & Noble, Patents and Microsoft",19
18,https://tsk.bearblog.dev/an-unorganized-life/,An Unorganized Life,14
19,https://noyb.eu/en/sweden-users-are-not-party-their-own-privacy-rights,Sweden: Users are not party to their own privacy rights?,22
20,https://www.bloomberg.com/news/articles/2022-08-03/crypto-takes-a-fresh-hit-as-thousands-of-solana-wallets-hacked,Crypto Takes a New Hit as Thousands of Solana Wallets Hacked,15
21,https://www.theverge.com/2022/8/3/23290225/google-meet-duo-video-calling-messaging,"Google Meet Meets Duo Meet, with Meet in Duo but Duo Isn’t Going into Meet",16
22,https://theconversation.com/we-found-some-strange-radio-sources-in-a-distant-galaxy-cluster-theyre-making-us-rethink-what-we-thought-we-knew-187631,We found some strange radio sources in a distant galaxy cluster,12
23,http://www.cimgf.com/2008/10/01/cocoa-touch-tutorial-iphone-application-example/,Cocoa Touch Tutorial - How to build a simple iPhone application,26
24,https://www.scylladb.com/2022/08/03/implementing-a-new-io-scheduler-algorithm-for-mixed-read-write-workloads/,Implementing a New IO Scheduler Algorithm for Mixed Read/Write Workloads,11
25,http://blogs.discovermagazine.com/badastronomy/2011/11/13/jaw-dropping-space-station-time-lapse/,Jaw dropping Space Station time lapse,11
26,https://fs.blog/evaluating-information/,Evaluating Information: Find the Signal in the Noise,11
27,https://thebulletin.org/2022/08/are-us-threat-assessments-outpacing-the-military-threats-america-actually-faces/,Are US threat assessments outpacing military realities?,19
28,https://www.scientificamerican.com/article/algorithm-that-detects-sepsis-cut-deaths-by-nearly-20-percent/,Algorithm That Detects Sepsis Cut Deaths by Nearly 20 Percent,12
29,https://www.npr.org/2022/08/03/1114964240/new-battery-technology-china-vanadium,The U.S. made a breakthrough battery discovery – then gave technology to China,18
30,https://www.scmp.com/news/china/diplomacy/article/3187619/china-set-begin-effective-taiwan-blockade-hours-after-nancy,China set to begin effective Taiwan blockade hours after Nancy Pelosi visit,11
31,https://www.nature.com/articles/d41586-022-02112-0,Pig organs partially revived in dead animals – researchers are stunned,11
32,http://www.physorg.com/news142185056.html,Musicians use both sides of their brains more frequently than average people,15
33,https://twitter.com/MayhemDayOne/status/1554571684459560961,"280M+ records in this Indian database, publicly exposed",12
34,https://www.sciencedaily.com/releases/2022/07/220729173148.htm,Common viruses may be triggering the onset of Alzheimer's disease,11
35,https://www.npr.org/2022/08/03/1114964240/new-battery-technology-china-vanadium,How the U.S. gave away a breakthrough battery technology to China,16
36,https://app.learningloop.org/loop/founders,Show HN: Learning Loop – Discover resources recommended by the founders,18
37,https://www.nature.com/articles/d41586-022-02112-0,Pig organs partially revived in dead animals – researchers are stunned,11
38,http://www.buzzmachine.com/2011/11/14/our-notion-of-nations/,Our notion of nations: Jeff Jarvis,13
39,https://thegradient.pub/lessons-from-deploying-deep-learning-to-production/,Lessons from Deploying Deep Learning to Production,16
40,https://www.highlight.io,Show HN: Highlight – Debug customer-facing issues with replay,21
41,http://joel.is/post/12790799237/achieving-scale-by-doing-things-that-dont-scale,Achieving scale by doing things that don’t scale,18
42,https://serokell.io/blog/kinds-and-hkts-in-haskell,Kinds and Higher-Kinded Types in Haskell,13
43,https://crates.io/crates/workspace-gen,Workspace generator for multiple Cargo projects,12
44,https://arxiv.org/abs/2208.02093,Detection of Compiler- and Linker-Introduced Leakage,18
45,https://arstechnica.com/information-technology/2022/08/huge-flaw-threatens-us-emergency-alert-system-dhs-researcher-warns/,"“Huge flaw” threatens US emergency alert system, DHS researcher warns",16
46,http://jacquesmattheij.com/There+is+no+shame+in+failure,There is no shame in failure,15
47,https://en.wikipedia.org/wiki/Waffle_House_Index,Waffle House Index,17
48,https://arstechnica.com/gaming/2022/08/indie-devs-outraged-by-unlicensed-game-sales-on-gamestops-nft-market/,Indie devs outraged by unlicensed game sales on GameStop’s NFT market,16
49,http://edwardfeser.blogspot.com/2022/07/confucian-hylemorphism.html,Confucian Hylemorphism,17
50,https://m.slashdot.org/story/403008,How the US Gave Away a Breakthrough Battery Technology to China,11
51,https://www.youtube.com/watch?v=N4h46_TCmGc,The State of Julia (In 2022) with Jeff Bezanson – JuliaCon 2022,11
52,https://paleotronic.com/applesoft/,Online Applesoft Basic Editor,18
53,https://www.thurrott.com/cloud/web-browsers/270729/in-wake-of-controversy-duckduckgo-to-block-microsoft-trackers,DuckDuckGo to Now Block Microsoft Trackers,26
54,https://www.npr.org/2022/08/03/1114964240/new-battery-technology-china-vanadium,How the U.S. gave away a breakthrough battery technology to China,14
55,https://labs.ripe.net/author/bassosimone/measuring-encrypted-dns-censorship-using-ooni-probe/,Measuring Encrypted-DNS Censorship Using OONI Probe,19
56,http://corner.squareup.com/2011/11/luhny-bin.html,Coding Challenge: The Luhny Bin,35
57,https://www.kitplanes.com/heron-turbine/,Heron Turbine,11
58,https://www.brookings.edu/research/white-and-youth-population-losses-contributed-most-to-the-nations-growth-slowdown-new-census-data-reveals/,Census: White and youth population losses contributed most to growth slowdown,12
59,https://www.npr.org/2022/08/05/1115946395/amazon-buying-roomba-irobot,Amazon is buying Roomba vacuum maker iRobot for $1.7B,17
60,https://github.com/bluejekyll/jaffi,"Jaffi, a Rust FFI Generator for JNI",12
61,http://www.economist.com/blogs/freeexchange/2011/11/unemployment,Unemployment: Those silly young people | Economist,16
62,http://www.engineyard.com/blog/2011/groupon-makes-history-in-more-ways-than-one/,Groupon Still Hosted on EngineYard,11
63,https://honojs.dev/,"Hono – is a small, simple, and ultrafast web framework. Fast, but not only fast",26
64,http://techcrunch.com/2011/11/14/generation-make/,We are Generation Make.,15
65,https://www.youtube.com/watch?v=iywx09SVETE,Newegg Is Desperate: Dumping GPUs with “JustGPU” [video],21
66,https://patorjk.com/software/taag/#p=display&f=3D-ASCII&t=HACKER%20NEWS,Show HN: Text to ASCII Art Generator (TAAG),12
67,https://twitter.com/s_palm/status/1555113804475772929,Scunthorpe problem reloaded: Guardian Australia removes „trans“ from tweets,13
68,https://www.laphamsquarterly.org/roundtable/song-summer,The Song of the Summer: A Heian-era epistolary romance,20
69,https://www.theguardian.com/commentisfree/2016/sep/13/lionel-shrivers-full-speech-i-hope-the-concept-of-cultural-appropriation-is-a-passing-fad,'I hope the concept of cultural appropriation is a passing fad' (2016),13
70,https://www.tenereteam.com/blogs/which-trees-have-the-best-carbon-sequestration-ability/,Which Trees Have the Best Carbon Sequestration Ability?,15
71,https://www.smithsonianmag.com/history/inside-the-race-to-preserve-treasures-from-a-legendary-17th-century-shipwreck-in-the-bahamas-180980492/,The Race to Preserve Treasures from a Legendary 17th-Century Shipwreck,20
72,https://www.cnbc.com/2022/08/05/california-dmv-says-tesla-fsd-autopilot-marketing-deceptive.html,CA DMV Accuses Tesla of Deception in Marketing Autopilot and Full Self-Driving,22
73,https://jacky.wtf/2022/6/Cpq0,A Web That Reflects People and Their Values,14
74,http://www.livestream.com/occupynyc,Occupy Wall Street being raided by police,15
75,https://twitter.com/privacyint/status/1555572602273406976,French data protection authority fines Criteo of €60M,15
76,https://origami.kosmulski.org/blog/2022-08-07-growing-up-origamist,Growing Up as an Origamist,17
77,https://www.atlasobscura.com/articles/solar-cooker-new-mexican-chile-roast,Why Solar Roasting Could Be the Future for New Mexico’s Chiles,12
78,https://archives.loomcom.com/genera/genera-install.html,Running Open Genera 2.0 on Linux (2020),17
79,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-and-machine-learning-software-medical-device,Artificial Intelligence and Machine Learning in Software as a Medical Device,11
80,https://twitter.com/jackrusher/status/1556214400658378752,The Smalltalk community getting the software development process right in 1988,13
81,https://www.theguardian.com/technology/2022/aug/07/ai-eu-moves-to-beat-the-algorithms-that-ruin-lives,‘Risks posed by AI are real’: EU moves to beat the algorithms that ruin lives,11
82,https://www.theguardian.com/technology/2022/aug/07/apple-asks-suppliers-in-taiwan-to-label-products-as-made-in-china-report,Apple asks suppliers in Taiwan to label products as made in China,11
83,http://www.cs.columbia.edu/cg/SingleShapeGen/,SingleShapeGen: Learning to Generate 3D Shapes from a Single Example,11
84,https://www.bbc.co.uk/news/business-62460882,Qantas asks executives to work as baggage handlers for three months,16
85,https://www.documentcloud.org/documents/22127991-585743312-california-dmv-accusation-against-tesla-inc-vehicle-dealer?responsive=1&title=1,California DMV Tesla 'self driving' complaint,11
86,https://docs.google.com/presentation/d/17Bzle0w6jz-1ndabrvC5MXUIQ5jme0M8xBF71oz-0Js/present#slide=id.i0,Practical Examples in Data Oriented Design,11
87,https://www.theregister.com/2022/08/08/slack_passwords/,Slack leaked hashed passwords from its servers for years,38
88,https://arstechnica.com/information-technology/2022/08/huge-flaw-threatens-us-emergency-alert-system-dhs-researcher-warns/,"“Huge flaw” threatens US emergency alert system, DHS researcher warns",11
89,https://www.cnbc.com/2022/08/08/axios-to-sell-itself-to-cox-enterprises-for-525-million.html,Axios to sell itself to Cox Enterprises for a reported $525M,11
90,https://blog.acolyer.org/2021/02/08/the-ants-and-the-pheromones/,The Ants and the Pheromones (2021),23
91,https://wasmer.io/posts/wasm-as-universal-binary-format-part-1-native-executables,WebAssembly as a Universal Binary Format – Part I: Native Executables,22
92,https://news.sky.com/story/gchq-discovered-nationally-significant-vulnerability-in-huawei-equipment-12086688,GCHQ discovered significant vulnerability in Huawei equipment (2020),14
93,https://www.vox.com/recode/2022/8/3/23290388/crypto-illegal-scams-lawsuit-sec,What will it take to send some crypto bros to prison?,13
94,https://greekreporter.com/2022/08/07/40000-year-old-neanderthal-cave/,40k-Year-Old Neanderthal Cave Chamber Discovered in Gibraltar,11
95,https://twitter.com/spectatorindex/status/1556824785627512832,Reports of explosion at Google data center in Iowa,12
96,https://www.hollywoodreporter.com/news/music-news/olivia-newton-john-dead-grease-1235194880/,Olivia Newton-John Has Died,11
97,http://www.channelregister.co.uk/2011/11/15/boundary_network_monitoring/,Ex-Amazon EC2 wizard pinpoints where your cloud is crap,12
98,https://www.scrapingbee.com/blog/web-scraping-javascript/,Web Scraping with JavaScript and Node.js,12
99,http://www.geek.com/articles/mobile/how-much-of-your-phone-is-yours-20111115/,"Android, CarrierIQ, and the collection of your mobile data",12
100,https://blog.sentry.io/2022/07/22/performance-impact-of-generated-javascript/,Understanding the Performance Impact of Generated JavaScript,14
101,https://sequentialread.com/federation-vs-clustering-self-hosting/,Federation vs. Clustering: Self-determination vs. distributed computing?,50
102,https://www.bbc.com/news/science-environment-62391069,'Forever chemicals' in rainwater exceed safe levels,38
103,https://www.poynter.org/commentary/2022/why-does-the-new-york-times-prosper-while-gannett-struggles-here-are-four-reasons/,Why does the New York Times prosper while Gannett struggles?,11
104,https://www.evanmiller.org/how-not-to-run-an-ab-test.html,How Not To Run an A/B Test (2010),11
